ORDDATE,ORDDATE,0
1998,1,0
1998,2,3599
1998,3,4409
1998,4,10568
1998,5,22609
1998,6,18561
1998,7,21545
1998,8,22405
1998,9,22655
1998,10,20167
1998,11,17951
1998,12,18723
1999,1,25681
1999,2,21197
1999,3,26975
1999,4,23090
1999,5,23372
1999,6,25471
1999,7,27239
1999,8,26359
1999,9,26617
1999,10,22962
1999,11,26551
1999,12,25741
2000,1,27162
2000,2,26794
2000,3,35403
2000,4,28540
2000,5,28202
2000,6,26432
2000,7,30909
2000,8,31851
2000,9,32612
2000,10,30982
2000,11,35424
2000,12,42121
2001,1,40269
2001,2,32411
2001,3,35990
2001,4,31485
2001,5,36463
2001,6,39947
2001,7,39775
2001,8,43442
2001,9,36449
2001,10,34363
2001,11,37120
2001,12,40680
2002,1,38121
2002,2,30260
2002,3,31479
2002,4,36469
2002,5,36579
2002,6,33046
2002,7,33879
2002,8,33040
2002,9,26562
2002,10,30393
2002,11,32077
2002,12,38056
2003,1,44081
2003,2,44534
2003,3,48796
2003,4,43686
2003,5,41069
2003,6,38838
2003,7,38327
2003,8,37280
2003,9,34885
2003,10,39845
2003,11,44290
2003,12,41127
2004,1,37975
2004,2,39320
2004,3,43302
2004,4,49348
2004,5,46414
2004,6,41832
2004,7,43253
2004,8,43110
2004,9,40766
2004,10,46803
2004,11,55101
2004,12,58197
2005,1,56379
2005,2,47266
2005,3,56578
2005,4,52928
2005,5,53246
2005,6,48078
2005,7,52987
2005,8,58767
2005,9,52020
2005,10,55442
2005,11,57458
2005,12,56091
2006,1,57246
2006,2,46659
2006,3,51914
2006,4,51618
2006,5,50569
2006,6,51766
2006,7,44597
2006,8,52114
2006,9,51691
2006,10,58154
2006,11,54183
2006,12,57948
2007,1,58825
2007,2,46753
2007,3,60253
2007,4,60404
2007,5,63245
2007,6,51689
2007,7,55322
2007,8,50635
2007,9,50933
2007,10,68837
2007,11,59058
2007,12,52986
2008,1,50156
2008,2,45561
2008,3,51797
2008,4,56468
2008,5,57249
2008,6,56413
2008,7,48137
2008,8,45315
2008,9,50038
2008,10,52754
2008,11,45794
2008,12,56534
2009,1,56060
2009,2,49733
2009,3,54807
2009,4,56139
2009,5,52782
2009,6,55467
2009,7,55598
2009,8,56357
2009,9,51729
2009,10,55010
2009,11,55925
2009,12,50321
2010,1,50973
2010,2,47438
2010,3,58801
2010,4,54344
2010,5,58299
2010,6,57944
2010,7,49123
2010,8,49532
2010,9,50636
2010,10,55868
2010,11,54481
2010,12,56659
2011,1,49261
2011,2,46516
2011,3,56576
2011,4,51630
2011,5,56526
2011,6,53085
2011,7,57786
2011,8,54637
2011,9,51684
2011,10,53287
2011,11,48085
2011,12,55258
2012,1,53838
2012,2,55393
2012,3,55837
2012,4,44993
2012,5,49026
2012,6,53109
2012,7,57548
2012,8,52025
2012,9,47109
2012,10,56405
2012,11,52659
2012,12,49454
2013,1,50244
2013,2,49359
2013,3,55554
2013,4,51353
2013,5,54836
2013,6,51509
2013,7,50928
2013,8,54022
2013,9,48008
2013,10,47619
2013,11,48081
2013,12,53082
2014,1,50717
2014,2,48024
2014,3,49700
2014,4,45502
2014,5,50454
2014,6,54913
2014,7,57278
2014,8,52435
2014,9,48018
2014,10,63668
2014,11,57752
2014,12,58507
2015,1,55890
2015,2,48299
2015,3,59363
2015,4,61060
2015,5,58357
2015,6,52783
2015,7,59515
2015,8,53840
2015,9,41651
2015,10,52812
2015,11,50989
2015,12,49546
2016,1,50314
2016,2,52370
2016,3,50481
2016,4,52700
2016,5,55384
2016,6,53954
2016,7,62996
2016,8,59705
2016,9,54221
2016,10,64289
2016,11,53601
2016,12,60196
2017,1,53586
2017,2,50858
2017,3,53681
2017,4,54645
2017,5,48743
2017,6,47715
2017,7,51384
2017,8,50954
2017,9,47436
2017,10,45144
2017,11,43354
2017,12,47926
2018,1,55973
2018,2,51261
2018,3,60153
2018,4,55469
2018,5,54430
2018,6,55107
2018,7,55746
2018,8,53339
2018,9,54900
2018,10,47728
2018,11,44328
2018,12,43054
2019,1,45993
2019,2,41095
2019,3,49626
2019,4,45788
2019,5,50556
2019,6,46242
2019,7,52959
2019,8,55986
2019,9,50587
2019,10,58359
2019,11,50497
2019,12,50284
2020,1,51026
2020,2,50065
2020,3,49074
2020,4,45814
2020,5,54962
2020,6,56450
2020,7,55424
2020,8,54191
2020,9,55342
2020,10,60784
2020,11,51211
2020,12,45238
2021,1,40208
2021,2,48693
2021,3,52176
2021,4,50049
2021,5,47081
2021,6,45641
2021,7,48084
2021,8,45833
2021,9,41553
2021,10,43996
2021,11,42013
2021,12,48068
2022,1,42057
2022,2,36573
2022,3,47646
2022,4,45381
2022,5,46919
2022,6,42314
2022,7,43804
2022,8,43916
2022,9,45898
2022,10,46769
2022,11,43629
2022,12,38967
2023,1,41381
2023,2,37651
2023,3,47092
2023,4,48467
2023,5,54655
2023,6,53552
2023,7,43072
2023,8,53280
2023,9,49805
2023,10,45672
2023,11,47767
2023,12,46061
